Lady Gaga , Rise Against
Korn , Florence + the Machine
Korn , Keane
The Offspring , Coldplay
The Offspring , Depeche Mode
The Offspring , Linkin Park
The Offspring , Pearl Jam
The Offspring , Florence + the Machine
The Offspring , Keane
The Offspring , Nirvana
The Offspring , Franz Ferdinand
Depeche Mode , Linkin Park
Depeche Mode , Evanescence
Depeche Mode , System of a Down
Depeche Mode , Disturbed
Depeche Mode , Franz Ferdinand
Foo Fighters , Evanescence
Linkin Park , Pearl Jam
Linkin Park , Florence + the Machine
Linkin Park , Keane
Linkin Park , Franz Ferdinand
Evanescence , Pearl Jam
Evanescence , Florence + the Machine
Evanescence , Keane
Evanescence , Franz Ferdinand
System of a Down , Pearl Jam
Pearl Jam , Disturbed
Disturbed , Florence + the Machine
Disturbed , Keane
Disturbed , Nirvana
Florence + the Machine , Incubus
Florence + the Machine , Franz Ferdinand
Incubus , Franz Ferdinand
AC/DC , The Offspring
AC/DC , Cobra Starship
AC/DC , Disturbed
All Time Low , Aerosmith
All Time Low , Alice in Chains
All Time Low , The Offspring
Aerosmith , Alice in Chains
Aerosmith , The Offspring
Aerosmith , Eminem
Aerosmith , Fall Out Boy
Aerosmith , 3OH!3
Aerosmith , Cobra Starship
Aerosmith , Disturbed
Green Day , Cobra Starship
Alice in Chains , The Offspring
Alice in Chains , Eminem
Alice in Chains , Fall Out Boy
Alice in Chains , 3OH!3
Alice in Chains , Cobra Starship
Alice in Chains , Disturbed
Arctic Monkeys , Cobra Starship
The Offspring , 3OH!3
The Offspring , Cobra Starship
Eminem , Cobra Starship
Fall Out Boy , Cobra Starship
Cobra Starship , Disturbed
The Smiths , Bob Dylan
The Smiths , MGMT
Oasis , Joy Division
Arctic Monkeys , Joy Division
Blur , Joy Division
Blur , Yeah Yeah Yeahs
Blur , MGMT
Joy Division , Radiohead
Joy Division , Bob Dylan
Joy Division , MGMT
Joy Division , Black Sabbath
Bob Dylan , MGMT
Bob Dylan , Black Sabbath
Yeah Yeah Yeahs , Black Sabbath
MGMT , Black Sabbath
Pink Floyd , Eminem
Pink Floyd , The Offspring
Pink Floyd , Linkin Park
Led Zeppelin , Eminem
Led Zeppelin , Avenged Sevenfold
Led Zeppelin , Linkin Park
Red Hot Chili Peppers , Avenged Sevenfold
Red Hot Chili Peppers , Queens of the Stone Age
The Beatles , Avenged Sevenfold
The Beatles , The Offspring
The Doors , Eminem
The Doors , Bob Dylan
The Doors , Avenged Sevenfold
The Doors , The Offspring
The Doors , Linkin Park
The Doors , System of a Down
Jimi Hendrix , Eminem
Jimi Hendrix , Metallica
Jimi Hendrix , Foo Fighters
Jimi Hendrix , Avenged Sevenfold
Jimi Hendrix , The Offspring
Jimi Hendrix , Linkin Park
Jimi Hendrix , AC/DC
Black Sabbath , Eminem
Black Sabbath , The Rolling Stones
Black Sabbath , Avenged Sevenfold
Black Sabbath , The Offspring
Black Sabbath , Linkin Park
Black Sabbath , System of a Down
Eminem , The Who
Eminem , Bob Dylan
Eminem , Avenged Sevenfold
Eminem , Queens of the Stone Age
Eminem , Linkin Park
Eminem , System of a Down
Eminem , Pearl Jam
The Who , Avenged Sevenfold
The Who , Queens of the Stone Age
The Who , Linkin Park
The Who , System of a Down
Metallica , Bob Dylan
The Rolling Stones , Foo Fighters
The Rolling Stones , Avenged Sevenfold
The Rolling Stones , The Offspring
The Rolling Stones , Linkin Park
The Rolling Stones , Pearl Jam
Bob Dylan , Avenged Sevenfold
Bob Dylan , The Offspring
Bob Dylan , Queens of the Stone Age
Bob Dylan , Linkin Park
Bob Dylan , System of a Down
Foo Fighters , Avenged Sevenfold
Avenged Sevenfold , The Offspring
Avenged Sevenfold , Queens of the Stone Age
Avenged Sevenfold , Linkin Park
Avenged Sevenfold , AC/DC
Avenged Sevenfold , The Killers
Avenged Sevenfold , Pearl Jam
The Offspring , Queens of the Stone Age
Queens of the Stone Age , Linkin Park
Queens of the Stone Age , System of a Down
Queens of the Stone Age , AC/DC
Queens of the Stone Age , The Killers
Linkin Park , AC/DC
Pink Floyd , Korn
A Perfect Circle , The Prodigy
A Perfect Circle , Korn
System of a Down , Deftones
Red Hot Chili Peppers , Nine Inch Nails
Incubus , Avenged Sevenfold
Avenged Sevenfold , Nine Inch Nails
Avenged Sevenfold , Korn
Nine Inch Nails , Korn
Björk , Tegan and Sara
Björk , Florence + the Machine
Björk , Lily Allen
Björk , Sigur Rós
Nightwish , Tegan and Sara
Nightwish , Florence + the Machine
Nightwish , Lily Allen
Nightwish , Yeah Yeah Yeahs
Nightwish , Sigur Rós
Tegan and Sara , Breaking Benjamin
Tegan and Sara , Oasis
Tegan and Sara , Franz Ferdinand
Tegan and Sara , Rammstein
Tegan and Sara , Keane
Tegan and Sara , The Cure
Tegan and Sara , blink-182
Tegan and Sara , Bullet for My Valentine
Tegan and Sara , Paramore
The Strokes , Breaking Benjamin
The Strokes , Rammstein
The Strokes , The Cure
The Strokes , Britney Spears
Breaking Benjamin , The Kooks
Breaking Benjamin , Avril Lavigne
Breaking Benjamin , Lady Gaga
Breaking Benjamin , Yeah Yeah Yeahs
Breaking Benjamin , Oasis
Breaking Benjamin , Franz Ferdinand
Breaking Benjamin , Rammstein
Breaking Benjamin , Keane
Breaking Benjamin , The Cure
Breaking Benjamin , Britney Spears
Breaking Benjamin , blink-182
Breaking Benjamin , Regina Spektor
Breaking Benjamin , The Killers
The Kooks , Rammstein
The Kooks , The Cure
The Kooks , Britney Spears
The Kooks , Bullet for My Valentine
Avril Lavigne , Franz Ferdinand
Avril Lavigne , Rammstein
Avril Lavigne , Keane
Avril Lavigne , The Cure
Avril Lavigne , MGMT
Avril Lavigne , Radiohead
Avril Lavigne , Bullet for My Valentine
Lady Gaga , Keane
Lady Gaga , Bullet for My Valentine
Yeah Yeah Yeahs , Rammstein
Yeah Yeah Yeahs , Keane
Yeah Yeah Yeahs , Bullet for My Valentine
Oasis , Britney Spears
Oasis , Regina Spektor
Franz Ferdinand , Bullet for My Valentine
Franz Ferdinand , Regina Spektor
Franz Ferdinand , Paramore
Rammstein , The Cure
Rammstein , Britney Spears
Rammstein , Bullet for My Valentine
Rammstein , Regina Spektor
Keane , The Cure
Keane , Britney Spears
Keane , MGMT
Keane , Regina Spektor
Keane , Paramore
The Cure , Bullet for My Valentine
The Cure , Regina Spektor
The Cure , Paramore
Britney Spears , Bullet for My Valentine
Britney Spears , Regina Spektor
blink-182 , Regina Spektor
MGMT , Regina Spektor
Bullet for My Valentine , Regina Spektor
Regina Spektor , Paramore
Björk , Bloc Party
Regina Spektor , Pink Floyd
Regina Spektor , David Bowie
Regina Spektor , System of a Down
Regina Spektor , The Beatles
Regina Spektor , Nickelback
Pink Floyd , Nickelback
The Smiths , System of a Down
The Smiths , Nickelback
David Bowie , Nickelback
System of a Down , Nickelback
The Beatles , Nickelback
Black Sabbath , Slayer
Black Sabbath , Megadeth
The Strokes , Florence + the Machine
The Strokes , The Rolling Stones
Florence + the Machine , Death Cab for Cutie
Florence + the Machine , The Clash
Florence + the Machine , U2
The Beatles , Snow Patrol
Death Cab for Cutie , U2
Death Cab for Cutie , The Rolling Stones
The Kooks , Phoenix
The Kooks , Pearl Jam
The Smiths , Snow Patrol
Snow Patrol , The Clash
Snow Patrol , Keane
Snow Patrol , Phoenix
Snow Patrol , The Rolling Stones
The Clash , Phoenix
Phoenix , U2
Radiohead , Belle and Sebastian
Regina Spektor , Belle and Sebastian
Regina Spektor , Interpol
Regina Spektor , Florence + the Machine
Belle and Sebastian , Death Cab for Cutie
Belle and Sebastian , Yeah Yeah Yeahs
Belle and Sebastian , Tegan and Sara
Belle and Sebastian , Interpol
Belle and Sebastian , Florence + the Machine
Belle and Sebastian , Franz Ferdinand
Belle and Sebastian , Phoenix
Tegan and Sara , Interpol
Avenged Sevenfold , Lily Allen
Avenged Sevenfold , Ke$ha
Avenged Sevenfold , Green Day
Bullet for My Valentine , Lily Allen
Bullet for My Valentine , Ke$ha
Slipknot , Lily Allen
Slipknot , Ke$ha
Slipknot , Green Day
Lily Allen , Marilyn Manson
Marilyn Manson , Green Day
Blur , Björk
Blur , Sigur Rós
Blur , Crystal Castles
Blur , David Bowie
Phoenix , Björk
Phoenix , Crystal Castles
Phoenix , Joy Division
Phoenix , David Bowie
Beck , Björk
Beck , Crystal Castles
Beck , Depeche Mode
Beck , Joy Division
Beck , Kings of Leon
Beck , David Bowie
Muse , Joy Division
Kasabian , Sigur Rós
Kasabian , Crystal Castles
Kasabian , Joy Division
Kasabian , The Smashing Pumpkins
Kasabian , David Bowie
Gorillaz , Björk
Gorillaz , Sigur Rós
Gorillaz , Depeche Mode
Gorillaz , Joy Division
Gorillaz , The Smashing Pumpkins
Gorillaz , David Bowie
Interpol , Björk
Interpol , Sigur Rós
Interpol , Crystal Castles
Interpol , David Bowie
Björk , Crystal Castles
Björk , Joy Division
Björk , Kings of Leon
Sigur Rós , Joy Division
Sigur Rós , The Smashing Pumpkins
Sigur Rós , David Bowie
Crystal Castles , Depeche Mode
Crystal Castles , The Smashing Pumpkins
Crystal Castles , David Bowie
Depeche Mode , Joy Division
Joy Division , Kings of Leon
Joy Division , The Smashing Pumpkins
Joy Division , David Bowie
Korn , Opeth
Korn , Weezer
Korn , Alice in Chains
Korn , Queens of the Stone Age
Deftones , Weezer
Deftones , Alice in Chains
Opeth , Marilyn Manson
Opeth , Slayer
Opeth , Weezer
Opeth , System of a Down
Nine Inch Nails , Slayer
Nine Inch Nails , Weezer
Nine Inch Nails , Iron Maiden
Nine Inch Nails , Megadeth
Marilyn Manson , Weezer
Marilyn Manson , Pearl Jam
Marilyn Manson , Red Hot Chili Peppers
Marilyn Manson , Alice in Chains
Marilyn Manson , Queens of the Stone Age
Slayer , Tool
Slayer , Weezer
Slayer , Pearl Jam
Slayer , Red Hot Chili Peppers
Slayer , Alice in Chains
Slayer , System of a Down
Slayer , A Perfect Circle
Slayer , Queens of the Stone Age
Tool , Iron Maiden
Weezer , Iron Maiden
Weezer , Metallica
Weezer , Red Hot Chili Peppers
Weezer , A Perfect Circle
Weezer , Megadeth
Weezer , Queens of the Stone Age
Iron Maiden , Pearl Jam
Iron Maiden , Red Hot Chili Peppers
Iron Maiden , Alice in Chains
Iron Maiden , System of a Down
Iron Maiden , A Perfect Circle
Iron Maiden , Queens of the Stone Age
Alice in Chains , System of a Down
Alice in Chains , Megadeth
System of a Down , Megadeth
Megadeth , Queens of the Stone Age
The Offspring , Phoenix
The Offspring , Belle and Sebastian
Rise Against , Phoenix
Rise Against , Belle and Sebastian
Rise Against , blink-182
Rise Against , The Kooks
Phoenix , blink-182
Belle and Sebastian , blink-182
Belle and Sebastian , The Kooks
Avenged Sevenfold , The Used
Avenged Sevenfold , Papa Roach
Avenged Sevenfold , Coldplay
The Used , Breaking Benjamin
Papa Roach , Breaking Benjamin
Coldplay , Breaking Benjamin
Black Eyed Peas , Black Sabbath
Linkin Park , Slipknot
Linkin Park , Rise Against
Linkin Park , The White Stripes
Linkin Park , The Prodigy
Linkin Park , Blur
Three Days Grace , Green Day
Three Days Grace , The Used
Three Days Grace , The Prodigy
Three Days Grace , Korn
Slipknot , The Used
Slipknot , Nickelback
Slipknot , Papa Roach
Slipknot , Fall Out Boy
Slipknot , Blur
Bullet for My Valentine , The Used
Bullet for My Valentine , Papa Roach
Bullet for My Valentine , Fall Out Boy
Bullet for My Valentine , Korn
Marilyn Manson , The Used
Marilyn Manson , The White Stripes
Marilyn Manson , Blur
Green Day , Breaking Benjamin
Green Day , Rise Against
Green Day , The Used
Green Day , Nickelback
Green Day , Papa Roach
Green Day , Deftones
Breaking Benjamin , Fall Out Boy
Breaking Benjamin , Blur
Breaking Benjamin , Korn
Rise Against , Blur
The Used , Nickelback
The Used , Blur
Nickelback , Disturbed
Nickelback , The White Stripes
Nickelback , The Prodigy
Nickelback , Blur
Nickelback , Korn
Papa Roach , Disturbed
Papa Roach , The White Stripes
Papa Roach , The Prodigy
Papa Roach , Blur
Papa Roach , Korn
Papa Roach , Metallica
Disturbed , Deftones
Fall Out Boy , Blur
Fall Out Boy , Deftones
Blur , Korn
Blur , Deftones
Linkin Park , Guns N' Roses
Linkin Park , Iron Maiden
Linkin Park , Nightwish
Guns N' Roses , Bob Dylan
Guns N' Roses , Avril Lavigne
Guns N' Roses , Slipknot
Guns N' Roses , Iron Maiden
Guns N' Roses , Paramore
Guns N' Roses , Nightwish
Guns N' Roses , Bullet for My Valentine
Guns N' Roses , Three Days Grace
Guns N' Roses , Black Sabbath
Opeth , Bob Dylan
Opeth , Avril Lavigne
Opeth , Nightwish
Opeth , Three Days Grace
Bob Dylan , Avril Lavigne
Bob Dylan , Slipknot
Bob Dylan , Marilyn Manson
Bob Dylan , Iron Maiden
Bob Dylan , Paramore
Bob Dylan , Nightwish
Bob Dylan , Bullet for My Valentine
Bob Dylan , Three Days Grace
Bob Dylan , 30 Seconds to Mars
Avril Lavigne , Slipknot
Avril Lavigne , U2
Avril Lavigne , Marilyn Manson
Avril Lavigne , Iron Maiden
Avril Lavigne , Three Days Grace
Avril Lavigne , Black Sabbath
Slipknot , U2
Slipknot , Black Sabbath
U2 , Marilyn Manson
U2 , Iron Maiden
U2 , Paramore
U2 , Nightwish
U2 , 30 Seconds to Mars
Marilyn Manson , Black Sabbath
Iron Maiden , Paramore
Iron Maiden , Nightwish
Iron Maiden , Bullet for My Valentine
Iron Maiden , Three Days Grace
Iron Maiden , 30 Seconds to Mars
Paramore , Black Sabbath
Nightwish , Black Sabbath
Three Days Grace , Black Sabbath
30 Seconds to Mars , Black Sabbath
Belle and Sebastian , Kings of Leon
Belle and Sebastian , Bloc Party
Belle and Sebastian , The xx
Belle and Sebastian , MGMT
Belle and Sebastian , Björk
The Smiths , Björk
Crystal Castles , MGMT
MGMT , Björk
Lady Gaga , Marilyn Manson
Madonna , MGMT
Madonna , Radiohead
Madonna , Coldplay
Madonna , Arctic Monkeys
Madonna , The xx
Madonna , Marilyn Manson
Madonna , The Beatles
Madonna , Florence + the Machine
Madonna , Ke$ha
Madonna , Lily Allen
Madonna , Kings of Leon
Madonna , Black Eyed Peas
Madonna , Weezer
MGMT , Beyoncé
MGMT , Rihanna
MGMT , Amy Winehouse
MGMT , Black Eyed Peas
Radiohead , Beyoncé
Radiohead , Rihanna
Radiohead , Ke$ha
Coldplay , Amy Winehouse
Arctic Monkeys , Beyoncé
Arctic Monkeys , Marilyn Manson
Arctic Monkeys , Weezer
The xx , Beyoncé
The xx , Marilyn Manson
The xx , Ke$ha
The xx , Black Eyed Peas
Beyoncé , Marilyn Manson
Beyoncé , Florence + the Machine
Beyoncé , Kings of Leon
Beyoncé , Weezer
Rihanna , Marilyn Manson
Rihanna , Florence + the Machine
Rihanna , Weezer
Paramore , Amy Winehouse
Marilyn Manson , The Kooks
Marilyn Manson , Amy Winehouse
Marilyn Manson , Britney Spears
Marilyn Manson , Black Eyed Peas
The Beatles , Amy Winehouse
The Beatles , Weezer
The Kooks , Black Eyed Peas
The Kooks , Weezer
Florence + the Machine , Amy Winehouse
Florence + the Machine , Britney Spears
Florence + the Machine , Weezer
Ke$ha , Amy Winehouse
Ke$ha , Weezer
Amy Winehouse , Britney Spears
Amy Winehouse , Kings of Leon
Amy Winehouse , Black Eyed Peas
Amy Winehouse , Weezer
Britney Spears , Kings of Leon
Britney Spears , Weezer
Kings of Leon , Weezer
Black Eyed Peas , Weezer
U2 , Kanye West
Kings of Leon , Bob Dylan
MGMT , Massive Attack
The Kooks , Massive Attack
The Kooks , Michael Jackson
Kanye West , Bob Dylan
Placebo , Bob Dylan
Florence + the Machine , Bob Dylan
Florence + the Machine , Michael Jackson
Bob Dylan , Michael Jackson
Massive Attack , Michael Jackson
Lily Allen , Cobra Starship
Lily Allen , Alice in Chains
Nirvana , Madonna
Nirvana , Cobra Starship
Michael Jackson , Marilyn Manson
Michael Jackson , Cobra Starship
Evanescence , Yeah Yeah Yeahs
Evanescence , Cobra Starship
Evanescence , Alice in Chains
Madonna , Yeah Yeah Yeahs
Madonna , Cobra Starship
Madonna , Alice in Chains
Marilyn Manson , Yeah Yeah Yeahs
Marilyn Manson , Cobra Starship
Yeah Yeah Yeahs , Cobra Starship
Cobra Starship , Coldplay
Cobra Starship , Muse
Arctic Monkeys , Björk
Arctic Monkeys , Modest Mouse
Björk , Coldplay
Björk , Modest Mouse
Björk , Bob Dylan
Beck , MGMT
Beck , Portishead
Coldplay , Portishead
Muse , Modest Mouse
Sigur Rós , Portishead
MGMT , Modest Mouse
Modest Mouse , Portishead
Modest Mouse , Bob Dylan
Portishead , Gorillaz
Portishead , Bob Dylan
Marilyn Manson , The All-American Rejects
Marilyn Manson , Christina Aguilera
Nickelback , Avenged Sevenfold
Bullet for My Valentine , The All-American Rejects
Bullet for My Valentine , Amy Winehouse
Bullet for My Valentine , Christina Aguilera
Avenged Sevenfold , Britney Spears
Avenged Sevenfold , The All-American Rejects
Avenged Sevenfold , Evanescence
Avenged Sevenfold , Amy Winehouse
Avenged Sevenfold , Christina Aguilera
Britney Spears , The All-American Rejects
The All-American Rejects , Evanescence
The All-American Rejects , Christina Aguilera
Evanescence , Amy Winehouse
Amy Winehouse , Disturbed
Disturbed , Christina Aguilera
Nirvana , Slayer
Bullet for My Valentine , My Chemical Romance
Katy Perry , The Rolling Stones
Katy Perry , Led Zeppelin
Christina Aguilera , The Rolling Stones
Christina Aguilera , Led Zeppelin
Madonna , The Rolling Stones
Madonna , Led Zeppelin
Sigur Rós , Paramore
Sigur Rós , Kanye West
Sigur Rós , Evanescence
Sigur Rós , System of a Down
Sigur Rós , The Strokes
Kanye West , Evanescence
Kanye West , The Strokes
Evanescence , Kasabian
Evanescence , The Killers
Evanescence , The Strokes
Lady Gaga , Snow Patrol
Lady Gaga , Guns N' Roses
Nickelback , Black Eyed Peas
Nickelback , Taylor Swift
Nickelback , Guns N' Roses
Nickelback , Avril Lavigne
Coldplay , Guns N' Roses
30 Seconds to Mars , Christina Aguilera
30 Seconds to Mars , Taylor Swift
30 Seconds to Mars , Katy Perry
30 Seconds to Mars , 3OH!3
30 Seconds to Mars , Beyoncé
Christina Aguilera , Snow Patrol
Christina Aguilera , Guns N' Roses
Black Eyed Peas , Guns N' Roses
Taylor Swift , Snow Patrol
Taylor Swift , Guns N' Roses
Snow Patrol , Katy Perry
Snow Patrol , 3OH!3
Snow Patrol , Guns N' Roses
Snow Patrol , Beyoncé
Katy Perry , Guns N' Roses
3OH!3 , Guns N' Roses
Guns N' Roses , Green Day
Guns N' Roses , Beyoncé
Phoenix , Red Hot Chili Peppers
Phoenix , Green Day
Portishead , Disturbed
Portishead , Nightwish
Portishead , Tegan and Sara
Portishead , Amy Winehouse
Tool , Tegan and Sara
Tool , Amy Winehouse
Disturbed , Tegan and Sara
Nightwish , Amy Winehouse
Muse , Pixies
AC/DC , Weezer
AC/DC , Joy Division
AC/DC , Bloc Party
AC/DC , The Prodigy
AC/DC , Queen
AC/DC , Iron Maiden
Arctic Monkeys , Pixies
Arctic Monkeys , Iron Maiden
Weezer , Placebo
Weezer , Joy Division
Weezer , Bloc Party
Weezer , The Prodigy
Weezer , Kasabian
Weezer , Led Zeppelin
Weezer , Michael Jackson
Weezer , Queen
Weezer , Fall Out Boy
Nirvana , Pixies
Nirvana , Iron Maiden
Oasis , Pixies
Oasis , Queen
Oasis , Iron Maiden
Placebo , Pixies
Placebo , Joy Division
Placebo , Queen
Placebo , Iron Maiden
blink-182 , Pixies
blink-182 , Joy Division
blink-182 , Queen
Pixies , Joy Division
Pixies , Bloc Party
Pixies , The Killers
Pixies , The Prodigy
Pixies , The Beatles
Pixies , Kasabian
Pixies , Foo Fighters
Pixies , Pink Floyd
Pixies , Michael Jackson
Pixies , Queen
Pixies , Paramore
Pixies , Fall Out Boy
Pixies , Iron Maiden
Franz Ferdinand , Bloc Party
Franz Ferdinand , The Prodigy
Franz Ferdinand , Queen
Franz Ferdinand , Iron Maiden
Joy Division , Bloc Party
Joy Division , The Killers
Joy Division , The Prodigy
Joy Division , Metallica
Joy Division , Foo Fighters
Joy Division , The Strokes
Joy Division , Michael Jackson
Joy Division , Queen
Joy Division , Paramore
Joy Division , Fall Out Boy
Joy Division , Iron Maiden
Radiohead , Iron Maiden
The Smiths , The Prodigy
The Smiths , Kasabian
The Smiths , Michael Jackson
The Smiths , Queen
The Smiths , Fall Out Boy
The Smiths , Iron Maiden
Bloc Party , The Prodigy
Bloc Party , Metallica
Bloc Party , Led Zeppelin
Bloc Party , Blur
Bloc Party , Michael Jackson
Bloc Party , Queen
Bloc Party , Iron Maiden
The Killers , Iron Maiden
The Prodigy , The Strokes
The Prodigy , Michael Jackson
The Beatles , Iron Maiden
Kasabian , Michael Jackson
Kasabian , Queen
Kasabian , Iron Maiden
Led Zeppelin , Iron Maiden
Foo Fighters , Paramore
Blur , Michael Jackson
Blur , Queen
Blur , Paramore
Blur , Iron Maiden
The Strokes , Michael Jackson
The Strokes , Queen
The Strokes , Iron Maiden
Pink Floyd , Iron Maiden
Michael Jackson , Iron Maiden
Queen , Paramore
Queen , Fall Out Boy
Queen , Iron Maiden
Fall Out Boy , Iron Maiden
Sigur Rós , Megadeth
Sigur Rós , A Perfect Circle
Sigur Rós , U2
Radiohead , Megadeth
The Beatles , Rammstein
Oasis , Aerosmith
Oasis , Guns N' Roses
Keane , Queen
Keane , David Bowie
Keane , Amy Winehouse
Keane , Aerosmith
Keane , Guns N' Roses
U2 , Lily Allen
U2 , Kasabian
U2 , Aerosmith
U2 , Gorillaz
Queen , Red Hot Chili Peppers
Queen , Amy Winehouse
Queen , Rammstein
Queen , Aerosmith
Queen , Depeche Mode
Queen , The Cure
Queen , Gorillaz
Red Hot Chili Peppers , David Bowie
Red Hot Chili Peppers , Amy Winehouse
Red Hot Chili Peppers , The Cure
System of a Down , Amy Winehouse
System of a Down , Aerosmith
Franz Ferdinand , Amy Winehouse
Franz Ferdinand , Aerosmith
Franz Ferdinand , Guns N' Roses
Lily Allen , David Bowie
Lily Allen , Aerosmith
Lily Allen , Guns N' Roses
Lily Allen , The Cure
David Bowie , Amy Winehouse
David Bowie , Aerosmith
David Bowie , Paramore
Kasabian , Amy Winehouse
Kasabian , Aerosmith
Kasabian , Guns N' Roses
Kasabian , Incubus
Kasabian , The Cure
Amy Winehouse , Rammstein
Amy Winehouse , Aerosmith
Amy Winehouse , Pearl Jam
Amy Winehouse , Guns N' Roses
Amy Winehouse , Depeche Mode
Amy Winehouse , The Cure
Amy Winehouse , The Killers
Amy Winehouse , Gorillaz
Rammstein , Aerosmith
Aerosmith , Guns N' Roses
Aerosmith , Depeche Mode
Aerosmith , Incubus
Aerosmith , Paramore
Aerosmith , The Cure
Aerosmith , Gorillaz
Guns N' Roses , Depeche Mode
Guns N' Roses , Incubus
Guns N' Roses , The Cure
Guns N' Roses , Gorillaz
Depeche Mode , Paramore
The Cure , Gorillaz
Deftones , The Smashing Pumpkins
The Cure , Papa Roach
The Smashing Pumpkins , Papa Roach
Foo Fighters , Papa Roach
Fall Out Boy , Depeche Mode
Avenged Sevenfold , Rammstein
Queen , Megadeth
Queen , Slayer
Queen , The Who
Megadeth , AC/DC
Megadeth , The Who
Led Zeppelin , Slayer
Iron Maiden , The Who
Pink Floyd , Slayer
Slayer , AC/DC
Slayer , The Who
U2 , Joy Division
Opeth , Disturbed
Opeth , Jimi Hendrix
Opeth , Daft Punk
Nine Inch Nails , Disturbed
Nine Inch Nails , Slipknot
Nine Inch Nails , Daft Punk
A Perfect Circle , Daft Punk
Disturbed , Jimi Hendrix
Disturbed , Iron Maiden
Jimi Hendrix , Slipknot
Jimi Hendrix , Iron Maiden
Slipknot , Daft Punk
The Rolling Stones , Aerosmith
Arctic Monkeys , Guns N' Roses
Guns N' Roses , The Strokes
Guns N' Roses , Foo Fighters
Guns N' Roses , Jimi Hendrix
Guns N' Roses , Blur
Aerosmith , The Strokes
Aerosmith , Foo Fighters
Aerosmith , Jimi Hendrix
Aerosmith , Blur
U2 , Jimi Hendrix
The Smiths , Jimi Hendrix
Queen , Jimi Hendrix
Placebo , Björk
Placebo , Daft Punk
Placebo , Phoenix
Björk , Nirvana
Björk , Ramones
Björk , Pixies
Björk , Massive Attack
Madonna , Ramones
Madonna , Daft Punk
Madonna , Blur
Madonna , Queen
Madonna , Pixies
Madonna , Massive Attack
Madonna , Phoenix
Madonna , The Smiths
Gorillaz , Ramones
Gorillaz , The Kooks
Gorillaz , The Smiths
Ramones , Daft Punk
Ramones , Queen
Ramones , Pixies
Ramones , Massive Attack
Ramones , Phoenix
Daft Punk , Queen
Daft Punk , Massive Attack
Daft Punk , The Kooks
Queen , Massive Attack
Queen , The Kooks
Pixies , Massive Attack
Pixies , The Kooks
Pixies , Phoenix
Massive Attack , Phoenix
Massive Attack , The Smiths
Daft Punk , Papa Roach
Daft Punk , Beyoncé
Daft Punk , Rihanna
Daft Punk , The Cure
Daft Punk , Kings of Leon
Daft Punk , Queens of the Stone Age
Papa Roach , Beyoncé
Papa Roach , Rihanna
Papa Roach , Madonna
Papa Roach , Lady Gaga
Papa Roach , Interpol
Beyoncé , The Cure
Beyoncé , Interpol
Beyoncé , Oasis
Beyoncé , Queens of the Stone Age
Rihanna , The Cure
Rihanna , Queens of the Stone Age
Madonna , The Cure
Madonna , Interpol
Madonna , Green Day
Madonna , Queens of the Stone Age
The Cure , Green Day
Lady Gaga , Queens of the Stone Age
Green Day , Queens of the Stone Age
Kings of Leon , Queens of the Stone Age
Three Days Grace , Queen
Three Days Grace , The Clash
Queen , Green Day
Queen , The Clash
David Bowie , The Strokes
David Bowie , Vampire Weekend
David Bowie , Slipknot
David Bowie , Snow Patrol
David Bowie , The Kooks
The Smiths , Beck
The Smiths , Slipknot
Franz Ferdinand , The Doors
Franz Ferdinand , Slipknot
Franz Ferdinand , Snow Patrol
The Doors , Beck
The Doors , The Cure
The Doors , Weezer
The Doors , Vampire Weekend
The Doors , Daft Punk
The Doors , Slipknot
The Doors , Snow Patrol
Beck , The Rolling Stones
Beck , Incubus
Beck , Ramones
Beck , Slipknot
Beck , Snow Patrol
Beck , The Kooks
The Rolling Stones , Incubus
The Rolling Stones , Ramones
The Rolling Stones , Weezer
The Rolling Stones , Slipknot
Incubus , Daft Punk
Incubus , The Who
Ramones , Bob Dylan
Ramones , Slipknot
Ramones , The Who
The Cure , Weezer
The Cure , Snow Patrol
The Cure , The Who
Radiohead , Slipknot
Oasis , Slipknot
The Beatles , Slipknot
Weezer , Interpol
Weezer , Daft Punk
Weezer , The White Stripes
Weezer , Slipknot
Weezer , Snow Patrol
Weezer , The Who
The Strokes , Slipknot
Interpol , Slipknot
Interpol , The Kooks
The Killers , Slipknot
Vampire Weekend , Slipknot
Daft Punk , Snow Patrol
Bob Dylan , Snow Patrol
Slipknot , Snow Patrol
Slipknot , The Who
Slipknot , The Kooks
Snow Patrol , The Who
The Cure , Alice in Chains
The Cure , Björk
The Beatles , Portishead
Alice in Chains , Portishead
Alice in Chains , The Rolling Stones
Alice in Chains , Joy Division
Portishead , The White Stripes
Portishead , The Rolling Stones
Portishead , David Bowie
Portishead , Placebo
The Rolling Stones , Björk
The Rolling Stones , Placebo
Joy Division , The Doors
All Time Low , Phoenix
All Time Low , 30 Seconds to Mars
Cobra Starship , Three Days Grace
Cobra Starship , Phoenix
Cobra Starship , 30 Seconds to Mars
Cobra Starship , The Used
Cobra Starship , Paramore
Cobra Starship , Papa Roach
3OH!3 , Phoenix
3OH!3 , The Used
Three Days Grace , Phoenix
Phoenix , The Used
Phoenix , Fall Out Boy
Phoenix , Paramore
Phoenix , Papa Roach
Lady Gaga , The Used
Muse , Nightwish
Sigur Rós , Incubus
Sigur Rós , Massive Attack
Sigur Rós , The White Stripes
Sigur Rós , Nine Inch Nails
